ID,Title,Classification,Resp Group,Prim Resp,Initial Resp Group,Resolved By,Type Category,Service Category,Service,Description
19684460,Monitoring generated Counter ALARM at 9:28:39 am 7-Feb-22 on eg-mxl91127jq.elting-gym.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Kevin Saunders,General,None,None,"Monitoring generated Counter ALARM at 9:28:39 am 7-Feb-22 on eg-mxl91127jq.elting-gym.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 9:28:39 am 7-Feb-22
Event Time: 2:28:39 pm 7-Feb-22 UTC
Log Value: 4.023097
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
19697541,CSB027 wants admin rights,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Bridget Goodwin,Service Desk,Classroom & Lab,Classroom and Lab Technology Issues,This is about my office computer; I cannot download cloud services (Dropbox) and I cannot update my computer. I want my office computer set up like the one it replaced. I want administrator access. Not being free to make these changes is debilitating for me as I have many of my files in cloud locations. I want to click on the app and have access to my files.
19708578,Desktop version of Office 365 not working properly,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,Brendan Gannon,Systems and Networking,Office 365,Office 365,"After a large number of emails came and went through my email yesterday the web version and the desktop version of email are not in synch and the desktop version is stuck. I used the web version to delete a large number of old emails to free up room but that did not completely solve the problem. I am not able to receive emails on the desktop version at this time. I tried restarting my computer and it didn't bring everything up to date. I use the desktop version almost exclusively. Thanks!
Maureen"
19708913,Verify Certificate????,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Raymond Ransome,Desktop Support,None,None,"I have the following message on my computer. Should I ""Accept""?? THANK FOR LETTING ME KNOW"
19719792,Monitoring generated Counter ALARM at 2:19:24 pm 10-Feb-22 on eg-2ua7462413.elting-gym.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Kevin Saunders,General,None,None,"Monitoring generated Counter ALARM at 2:19:24 pm 10-Feb-22 on eg-2ua7462413.elting-gym.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 2:19:24 pm 10-Feb-22
Event Time: 7:19:24 pm 10-Feb-22 UTC
Log Value: 0.602553
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
19727955,can't download paycheck,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Service Desk,Websites,my.newpaltz.edu,Since 2022 I have not been able to download my paycheck from the employee portal. I have tried Firefox and Chrome. At the top there is now only an upload symbol--there is no download symbol. Is downloading no longer an option? Please let me know how to fix this. I am on a MacBook Air running Mohave. Thanks.
19731115,Monitoring generated Counter ALARM at 10:01:51 pm 11-Feb-22 on eg-2ua746240v.elting-gym.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Desktop Support,None,None,"Monitoring generated Counter ALARM at 10:01:51 pm 11-Feb-22 on eg-2ua746240v.elting-gym.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 10:01:51 pm 11-Feb-22
Event Time: 3:01:51 am 12-Feb-22 UTC
Log Value: 0.966309
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
19737883,Would like license to use Microsoft Project,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Systems and Networking,Office 365,Office 365,"I currently don't have a license for Microsoft Project, though it is available in Office 365, and I would like to have access to it as it will be useful in my work. Thanks."
19753947,Monitoring generated Counter ALARM at 9:27:45 am 16-Feb-22 on wh-8ksj3f3.recently-installed.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,System User,General,None,None,"Monitoring generated Counter ALARM at 9:27:45 am 16-Feb-22 on wh-8ksj3f3.recently-installed.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 9:27:45 am 16-Feb-22
Event Time: 2:27:45 pm 16-Feb-22 UTC
Log Value: 4.678497
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
19742668,Re: The sound setting issue,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Micaela Chaves-Caetano,Service Desk,None,None,"Hi, 

 
 


 
 
Can you please reply to the following request? 
 


 
 
Thanks.

 
 
 
 From: Soeyoon Choi

 Sent: Thursday, February 10, 2022 7:48 AM

 To: Service Desk 

 Subject: The sound setting issue 
 
 

 
 
Hi Service Desk, 

 
 


 
 
(Ray was working with me on this matter but I was informed to register for a new ticket to receive support again)

 
 


 
 
I hope that all is well with you. I am writing with a request for checking up my laptop sound system. It still does not seem to function stably, and I want to fix any tech issue sooner than later because I teach online using this laptop. Could I schedule a
 virtual meeting around 11:30am today (2/10)? Otherwise, I can meet at 2:30pm. 

 
 


 
 
Please let me know a time that works for you. 

 
 


 
 
Best, 

 
 
SoeYoon"
19767249,Re: The sound setting issue,Incident,Desktop Support - Faculty/Staff,Raymond Ransome,Service Desk,Raymond Ransome,General,None,None,"Hi, 
 
If Ray is busy with other things, can anyone schedule a virtual meeting with me on Friday to follow up on my audio issue? After the laptop is back from the sleep mode, the audio setting automatically changes, and I have to always restart it to get the regular audio mode back. 
 
Thank you. 

 From: Soeyoon Choi 
 Sent: Monday, February 14, 2022 10:32 PM
 To: Service Desk 
 Subject: Re: The sound setting issue 
 
Hi, 
Can you please reply to the following request? 
 Thanks.

 
 From: Soeyoon Choi
 Sent: Thursday, February 10, 2022 7:48 AM
 To: Service Desk 
 Subject: The sound setting issue 
 
Hi Service Desk, 

(Ray was working with me on this matter but I was informed to register for a new ticket to receive support again)
I hope that all is well with you. I am writing with a request for checking up my laptop sound system. It still does not seem to function stably, and I want to fix any tech issue sooner than later because I teach online using this laptop. Could I schedule a virtual meeting around 11:30am today (2/10)? Otherwise, I can meet at 2:30pm. 
Please let me know a time that works for you. 

 Best, 
SoeYoon"
19740280,Connect to Bruno Server,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Raymond Ransome,Systems and Networking,Remote Application and Access,VPN - Virtual Private Network,I'm setting up a new computer at home and installed the VPN but now I need to connect to the Bruno server and I don't know how to do it.
19736743,People AdminPassword Reset/Unlock,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Kevin Saunders,Service Desk,"Accounts, Access, & Security",Password Reset (All accounts except NP User ID),"Good morning, 

I tried several times to log into peopleadmin to review the rtp dossers, but I does not recognize my password. I am using the same one that I use to login into my office and classroom computers. Is this correct? Either way, it keeps blocking me

Isidoro"
19752818,Monitoring generated Counter ALARM at 12:25:10 am 16-Feb-22 on om-mxl8491h77.old-main.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Kevin Saunders,General,None,None,"Monitoring generated Counter ALARM at 12:25:10 am 16-Feb-22 on om-mxl8491h77.old-main.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 12:25:10 am 16-Feb-22
Event Time: 5:25:10 am 16-Feb-22 UTC
Log Value: 4.781916
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned

 "
19724662,having trouble keeping tabs open on my office computer,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Tom Blake,Systems and Networking,Office 365,Office 365,I am in my work email office 365 and I want to open another table to search for supplies say and as soon as I do the work email closes. I'd like to be able to toggle back and forth from an email to supply search without having to open my email as I can do with no problem on my home computer. this has been very frustrating. I hope you can help me.
19772799,Login for WH 360 Corwin Senko Thursdays 3:30 - 6:20,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Service Desk,Classroom & Lab,Classroom and Lab Technology Issues,Corwin Senko had booked WH 360 for Thursdays from 3:30 - 6:20 and was unable to login with his admin account. He will need this equipment each Thursday 3:30 - 6:20.
19975767,Unable to print from email,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Systems and Networking,Office 365,Office 365,"Once I open an email and attempt to print (using the 3 dots in the upper right corner in Chrome) the application opens a print page, yet freezes once I do so. I will ultimately need to log out and log back into Office 365 to have the functionality in my email."
19899674,Cannot Connect Remotely,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,,Desktop Support,Office Technology,Office Technology Requests (on Campus only),"When I work remotely, I cannot connect into my personal WiFi with the laptop provided to me for remote work."
19835647,Can't login to Bruno Drive,Incident,Desktop Support - Faculty/Staff,Nikolai Nesteroke,Service Desk,System User,Systems and Networking,Networking/WiFi,Wired Network Access (Issues),I'm unable to log in to the Bruno drive (which contains the Chemistry Dept. Shared drive and my personal backup drive).
